trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.6, 'e': 1.1282646495496626e-08}",20,0,29.286343353960326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.6, 'e': 8.35839010137463e-09}",25,12,23.70870416535432,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.6, 'e': 6.192047682664037e-09}",20,0,-30.3184566536862,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.6, 'e': 4.587181746647526e-09}",20,0,29.528833523383497,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.6, 'e': 3.398267819495075e-09}",20,0,23.537256782397108,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.6, 'e': 2.517498719438283e-09}",20,0,-24.682403059181198,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
67,False,"{'a': 0.6, 'e': 1.865008921902772e-09}",35,0,19.284619340015123,"{0: 32, 1: 2, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.6, 'e': 1.3816325910795405e-09}",20,5,7.200171602051835,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 1.0235385977594166e-09}",20,2,28.974738137925748,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 7.582560427911916e-10}",30,20,19.834673393292668,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.6, 'e': 5.617298924417311e-10}",35,0,28.07221087541479,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.6, 'e': 4.1613973942241597e-10}",30,0,-5.3651786334322225,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.6, 'e': 3.0828390131386794e-10}",25,11,21.455058159716195,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 2.2838233123615794e-10}",25,13,20.36543725404299,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 1.6918979226151325e-10}",20,0,22.202257512687282,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.6, 'e': 1.2533888086068373e-10}",20,0,4.07638085109499,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.6, 'e': 9.285332670144955e-11}",25,14,19.4728403821316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 6.87874362713461e-11}",20,3,19.408475130772768,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 5.095898614379568e-11}",20,0,19.5002727182281,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.6, 'e': 3.7751345442791035e-11}",30,3,17.34575766230987,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.6, 'e': 2.7966884559269335e-11}",20,14,10.525828232926088,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 2.0718377657208917e-11}",20,0,-13.814508659550702,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.6, 'e': 1.5348551671425367e-11}",25,10,23.919925449123124,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 1.1370486739266747e-11}",20,0,-18.4348541526798,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
85,False,"{'a': 0.6, 'e': 8.42346375446866e-12}",20,16,8.934929671859482,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 6.240255430562415e-12}",20,0,6.280079115879239,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
87,False,"{'a': 0.6, 'e': 4.622894924668676e-12}",30,9,9.999127179886676,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 3.424724792491593e-12}",20,0,6.421993359283672,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.6, 'e': 2.5370985270981874e-12}",20,3,16.7828805716458,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 1.8795288165390865e-12}",20,0,-2.1691704763796524,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.6, 'e': 1.392389193588501e-12}",30,0,-15.620640388243004,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.6, 'e': 1.0315072848906854e-12}",25,0,27.994740623933552,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.6, 'e': 7.641593914129474e-13}",20,10,11.90375664446589,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 5.661032006637641e-13}",20,1,22.826302319325176,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 4.193795658379552e-13}",25,0,26.178371708294332,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.6, 'e': 3.1068402375434536e-13}",25,8,24.073323910698846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 2.301603856719307e-13}",20,11,14.852820857576425,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 1.7050700738489767e-13}",20,9,17.34574309503133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 1.2631469782464442e-13}",30,21,-6.068636641765572,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.6, 'e': 9.357622968840194e-14}",35,20,25.511128543508793,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 6.932297597586566e-14}",30,0,3.715599325707302,"{0: 26, 1: 3, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.6, 'e': 5.135572371480227e-14}",20,11,15.28665210777864,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 3.8045255864221723e-14}",20,0,-23.713964654020963,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.6, 'e': 2.818461875471343e-14}",30,4,38.62756032131246,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.6, 'e': 2.087967911645938e-14}",20,6,19.773874342394482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 1.546804673146066e-14}",25,0,-11.946560854555809,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.6, 'e': 1.1459010857022349e-14}",30,6,-8.747160657691607,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.6, 'e': 8.489044033871783e-15}",25,13,-2.2006838440358334,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.6, 'e': 6.288838496461647e-15}",30,19,21.763733913055006,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 4.658886145103407e-15}",25,0,-11.080050066185544,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.6, 'e': 3.451387744374214e-15}",25,0,33.30157676892358,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.6, 'e': 2.5568509276699928e-15}",25,8,-23.953089806495168,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.6, 'e': 1.8941617547848836e-15}",20,0,24.837653563307292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.6, 'e': 1.4032295408630979e-15}",20,6,23.50710378472428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 1.0395380116702241e-15}",20,0,30.175562195587638,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.6, 'e': 7.701087001365463e-16}",25,1,19.093813564693285,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 5.705105569666669e-16}",30,0,40.787202855889966,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.6, 'e': 4.22644615692182e-16}",35,16,32.322147720368676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 3.1310283217779073e-16}",30,0,24.13811610201268,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.6, 'e': 2.3195228302435746e-16}",20,0,-16.977160876099404,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
121,False,"{'a': 0.6, 'e': 1.7183447759316672e-16}",25,0,37.65040313385204,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.6, 'e': 1.2729811194234228e-16}",30,0,-2.9724603896998465,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
123,False,"{'a': 0.6, 'e': 9.430476078526815e-17}",25,19,-32.593415833196644,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.6, 'e': 6.98626850867574e-17}",25,0,-11.7746737800611,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
125,False,"{'a': 0.6, 'e': 5.17555500580188e-17}",25,0,-22.176529446243645,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
126,False,"{'a': 0.6, 'e': 3.8341454504385065e-17}",20,4,24.28838349397523,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 2.8404048104287583e-17}",25,15,19.15849544515868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 2.104223637677625e-17}",20,0,28.22610505165637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.6, 'e': 1.5588472111807498e-17}",20,0,32.036489092471,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.6, 'e': 1.1548224173015811e-17}",20,0,16.350856023176732,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.6, 'e': 8.555134883887177e-18}",25,0,31.41384244224761,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 6.337799802373393e-18}",30,19,17.48614602024768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 4.6951575726312e-18}",20,0,21.50440215819108,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.6, 'e': 3.4782582787769396e-18}",25,0,24.950475003998562,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.6, 'e': 2.576757109154987e-18}",25,12,20.243379336744027,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 1.9089086167331642e-18}",20,0,23.16638556031544,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.6, 'e': 1.414154284892262e-18}",20,12,-30.5209363337283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.6, 'e': 1.0476312611033126e-18}",20,0,24.972036529127063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.6, 'e': 7.761043267811002e-19}",25,0,37.06849497682874,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.6, 'e': 5.749522264293571e-19}",30,0,39.81392775191772,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.6, 'e': 4.2593508536038853e-19}",20,0,24.495299525914053,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.6, 'e': 3.1554047206259865e-19}",20,7,16.772704586913772,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 2.3375813106648364e-19}",35,0,38.60112502430333,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.6, 'e': 1.731722827265562e-19}",20,0,27.729328337911248,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 1.2828918236087875e-19}",25,14,15.75075153577788,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 9.503896380929863e-20}",30,0,39.1586745546062,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.6, 'e': 7.040659606463879e-20}",25,6,28.122233066107395,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 5.215848922086215e-20}",20,0,-12.607625815608833,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
